committee_id,committee_name,report_year,file_number,payee_name,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,support_oppose_indicator,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,candidate_party,election_type,election_type_full
C00487470,CLUB FOR GROWTH ACTION,2022,1560758,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),1/28/22 0:00,1/28/22 0:00,146.78,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1602287,WARFIELD AND COMPANY,DIGITAL AD PRODUCTION,6/9/22 0:00,6/15/22 0:00,2885,O,H2IL13120,"DAVIS, RODNEY L",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1521848,"CATAMARAN CONSULTING, LLC","MAIL PRODUCTION, POSTAGE",6/23/21 0:00,6/29/21 0:00,16162,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2022,1609233,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),7/11/22 0:00,7/11/22 0:00,203.26,O,H2MO07168,"WASSON, JAY",H,MO,7,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1591731,"THE STONERIDGE GROUP, LLC","MAIL PRODUCTION, POSTAGE",4/28/22 0:00,5/2/22 0:00,12664.68,S,H4WV02080,"MOONEY, ALEXANDER XAVIER",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1556140,"BIG DOG STRATEGIES, LLC","MAIL PRODUCTION, POSTAGE",1/14/22 0:00,1/14/22 0:00,35186.58,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1571836,"CATAMARAN CONSULTING, LLC","MAIL PRODUCTION, POSTAGE",2/18/22 0:00,2/23/22 0:00,29714,S,S2NV00324,"LAXALT, ADAM",S,NV,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1591151,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),4/28/22 0:00,4/28/22 0:00,153.43,O,H0WV01072,"MCKINLEY, DAVID B. MR.",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1600647,DROGIN GROUP LLC,DIGITAL AD PRODUCTION,6/1/22 0:00,6/6/22 0:00,656.25,S,S2NV00324,"LAXALT, ADAM",S,NV,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1594195,"MEDIUM BUYING, LLC",RADIO AD PLACEMENT,5/11/22 0:00,5/12/22 0:00,77442.54,S,S2PA00489,"BARNETTE, KATHY",S,PA,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1528198,"CATAMARAN CONSULTING, LLC","MAIL PRODUCTION, POSTAGE",7/9/21 0:00,7/16/21 0:00,5683,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
